epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,val_tp,val_fp,val_fn,val_tn,lr,time_sec
1,0.26136600783964,0.8828333333333334,0.11341413237651189,0.9569166666666666,0.9630130045600406,0.9503333333333334,0.9566311551044376,0.008430500000000007,5702,219,298,5781,9.755282581475769e-05,1449.6343295574188
2,0.11294440556565921,0.9578333333333333,0.09809832027554512,0.9639166666666666,0.9674223341729639,0.9601666666666666,0.9637808448347972,0.006527194444444495,5761,194,239,5806,9.045084971874737e-05,1440.907680273056
3,0.0796495569087565,0.9702708333333333,0.09952939761678378,0.9619166666666666,0.9562139917695474,0.9681666666666666,0.9621532091097308,0.006465638888888847,5809,266,191,5734,7.938926261462366e-05,1409.8961861133575
4,0.05875499659900864,0.9781041666666667,0.09364432910333077,0.9670833333333333,0.9696664990782637,0.9643333333333334,0.9669925628812568,0.005741527777777811,5786,181,214,5819,6.545084971874737e-05,1414.734577178955
5,0.040417745576861,0.9848125,0.11465587658683458,0.9596666666666667,0.9490394008466297,0.9715,0.9601383627079558,0.006151972222222191,5829,313,171,5687,4.9999999999999996e-05,1415.0521998405457
6,0.02851036492199637,0.9897291666666667,0.1125645660807689,0.9640833333333333,0.9675902602854743,0.9603333333333334,0.963948138854036,0.005958222222222198,5762,193,238,5807,3.454915028125263e-05,1398.9780020713806
7,0.0184299464248276,0.993125,0.11915734394825996,0.9680833333333333,0.9748098055790364,0.961,0.9678556441460344,0.005809972222222237,5766,149,234,5851,2.0610737385376345e-05,1409.5207350254059
8,0.013520487694186158,0.9953333333333333,0.12039164388366043,0.9673333333333334,0.972531176272329,0.9618333333333333,0.9671526730350261,0.005608111111111147,5771,163,229,5837,9.549150281252631e-06,1404.1028697490692
9,0.010289145964653775,0.9967291666666667,0.1234905770594875,0.9670833333333333,0.9685671292426016,0.9655,0.9670311326266589,0.005568916666666701,5793,188,207,5812,2.447174185242323e-06,1399.3658878803253
10,0.00765023254432405,0.997875,0.1249693188983947,0.9669166666666666,0.9668388601899683,0.967,0.9669194233813848,0.005567388888888858,5802,199,198,5801,0.0,1416.3624584674835
