epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,val_tp,val_fp,val_fn,val_tn,lr,time_sec
1,0.38254912001582886,0.8115613671672709,0.1787608645431736,0.9310880829015544,0.9531590413943355,0.9067357512953368,0.929368029739777,0.017372815377594053,1750,86,180,1844,9.755282581475769e-05,170.49619793891907
2,0.17548205681504023,0.9320947695494562,0.15609939950735457,0.9365284974093264,0.9450607501320655,0.9269430051813472,0.9359142035051008,0.01436843942119248,1789,104,141,1826,9.045084971874737e-05,153.10445952415466
3,0.12268381321572196,0.9531330916623512,0.14230425740770725,0.944041450777202,0.9477533960292581,0.9398963730569948,0.9438085327783559,0.01210206985422424,1814,100,116,1830,7.938926261462366e-05,159.72524452209473
4,0.08176450274116878,0.9695106162610047,0.1450181935658109,0.9427461139896373,0.9429756350440642,0.9424870466321243,0.9427312775330395,0.011726220838143342,1819,110,111,1820,6.545084971874737e-05,155.33190274238586
5,0.05685356109808689,0.9799974106680477,0.14534924236449553,0.9458549222797927,0.9370238699847638,0.9559585492227979,0.9463965119261348,0.010188192971623433,1845,124,85,1806,4.9999999999999996e-05,154.12983870506287
6,0.038369829079897326,0.9866649404453651,0.14926174713076706,0.9510362694300518,0.9677592692101021,0.933160621761658,0.9501450804537062,0.009435421085129847,1801,60,129,1870,3.454915028125263e-05,155.38339757919312
7,0.02498259553609822,0.9921025375453133,0.1548056723414848,0.9510362694300518,0.9470980996404725,0.9554404145077721,0.9512509672427134,0.009743080351150346,1844,103,86,1827,2.0610737385376345e-05,155.02595257759094
8,0.018225809656771345,0.9944976696012429,0.15742151770026572,0.9479274611398963,0.9431060994361866,0.9533678756476683,0.9482092244266942,0.009539584955300828,1840,111,90,1819,9.549150281252631e-06,173.4692087173462
9,0.013723542447048053,0.996569135163128,0.1641359239314813,0.9492227979274611,0.9563157894736842,0.9414507772020725,0.9488250652741513,0.009597573089210498,1817,83,113,1847,2.447174185242323e-06,182.60256481170654
